KOD;NAZEV;STATUS_KOD;POU_KOD;OKRES_KOD
554979;Abertamy;3;1121;3403
531367;Adamov;2;221;3205
535826;Adamov;2;647;3301
581291;Adamov;3;2691;3701
547786;Adršpach;2;2283;3605
547981;Albrechtice;2;2631;3611
598925;Albrechtice;2;3565;3803
576077;Albrechtice nad Orlicí;2;2411;3607
549258;Albrechtice nad Vltavou;2;868;3305
563528;Albrechtice v Jizerských horách;2;1694;3504
568741;Albrechtičky;2;3671;3804
506761;Alojzov;2;3140;3709
551929;Andělská Hora;3;3425;3801
538001;Andělská Hora;2;1104;3403
573426;Anenská Studánka;2;2631;3611
586030;Archlebov;2;3000;3706
509388;Arneštovice;2;809;3304
586854;Arnolec;2;3026;3707
562343;Arnoltice;2;1589;3502
554499;Aš;3;1074;3402
592013;Babice;2;3239;3711
538043;Babice;2;400;3209
569828;Babice;2;2062;3602
537241;Babice;2;876;3306
590274;Babice;2;3182;3710
552356;Babice;2;3735;3805
582794;Babice nad Svitavou;2;2798;3703
582808;Babice u Rosic;2;2771;3703
553433;Babylon;2;1015;3401
535427;Bakov nad Jizerou;3;299;3207
595217;Baliny;2;3409;3714
563251;Balkova Lhota;2;990;3308
593729;Bantice;2;3361;3713
572560;Banín;2;2526;3609
569836;Barchov;2;2062;3602
574724;Barchov;2;2348;3606
533173;Barchovice;2;159;3204
548260;Bartoušov;2;1996;3601
599212;Bartošovice;2;3646;3804
576093;Bartošovice v Orlických horách;2;2399;3607
586862;Batelov;6;3042;3707
579041;Batňovice;2;2593;3610
550809;Bavorov;3;931;3307
584304;Bavory;2;2844;3704
534421;Bavoryně;2;78;3202
598011;Baška;2;3506;3802
572667;Bašnice;2;2160;3604
538051;Bašť;2;388;3209
553701;Bačalky;2;2186;3604
576085;Bačetín;2;2364;3607
590282;Bačice;2;3158;3710
546194;Bačkov;2;1996;3601
544833;Bačkovice;2;3174;3710
588300;Bařice-Velké Těšany;2;3107;3708
566756;Bdeněves;2;1325;3407
565423;Bdín;2;566;3212
564575;Bechlín;2;1813;3506
552054;Bechyně;3;957;3308
589268;Bedihošť;2;3140;3709
562548;Bednárec;2;710;3303
561053;Bednáreček;2;710;3303
581313;Bedřichov;2;2712;3701
563536;Bedřichov;2;1686;3504
576981;Benecko;2;2437;3608
590304;Benetice;2;3204;3710
581330;Benešov;2;2712;3701
529303;Benešov;3;27;3201
562351;Benešov nad Ploučnicí;3;1571;3502
545406;Benešov nad Černou;2;663;3302
576999;Benešov u Semil;2;2461;3608
560723;Benešovice;2;1490;3410
577774;Benátky;2;2496;3609
569861;Benátky;2;2046;3602
535451;Benátky nad Jizerou;3;272;3207
531111;Bernardov;2;191;3205
579050;Bernartice;2;2585;3610
549266;Bernartice;6;825;3305
532568;Bernartice;2;51;3201
