hodnota,ps_kod,vuzemi_kod,rok,ps_txt,ps0_txt,vuzemi_txt
1,A15,3042,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Plzeňský kraj
1,A15,3107,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Kraj Vysočina
4,A15,3026,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Středočeský kraj
1,A15,3085,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Královéhradecký kraj
6,A15,3018,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Hlavní město Praha
2,A15,3051,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Karlovarský kraj
2,A15,3140,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Moravskoslezský kraj
1,A15,3093,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Pardubický kraj
2,A15,3034,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Jihočeský kraj
2,A15,3115,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Jihomoravský kraj
2,A15,3069,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Ústecký kraj
1,A15,3077,2017,TBC dýchacího ústrojí bakteriologicky a histologicky ověřená,Některé infekční a parazitární nemoci (A00 - B99),Liberecký kraj
3,A49,3042,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Plzeňský kraj
1,A49,3107,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Kraj Vysočina
6,A49,3026,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Středočeský kraj
5,A49,3085,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Královéhradecký kraj
3,A49,3018,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Hlavní město Praha
10,A49,3140,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Moravskoslezský kraj
2,A49,3093,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Pardubický kraj
2,A49,3131,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Zlínský kraj
6,A49,3034,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Jihočeský kraj
15,A49,3115,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Jihomoravský kraj
5,A49,3069,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Ústecký kraj
1,A49,3077,2017,Bakteriální infekce neurčené lokalizace,Některé infekční a parazitární nemoci (A00 - B99),Liberecký kraj
2,C00,3026,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Středočeský kraj
1,C00,3085,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Královéhradecký kraj
2,C00,3018,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Hlavní město Praha
3,C00,3140,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Moravskoslezský kraj
1,C00,3093,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Pardubický kraj
1,C00,3131,2017,Zhoubný novotvar rtu,Novotvary (C00 - D48),Zlínský kraj
